det(intake-3, The-1)

advmod(has-4, Therefore-1)
punct(has-4, ,-2)
nsubj(has-4, caffeine-3)
root(ROOT-0, has-4)
det(potential-6, the-5)
dobj(has-4, potential-6)
mark(interact-8, to-7)
acl(potential-6, interact-8)
case(drugs-10, with-9)
nmod(interact-8, drugs-10)
nsubj(substrates-13, that-11)
cop(substrates-13, are-12)
acl:relcl(drugs-10, substrates-13)
case(CYP1A2-15, for-14)
nmod(substrates-13, CYP1A2-15)
punct(has-4, ,-16)
advcl(has-4, inhibit-17)
dobj(inhibit-17, CYP1A2-18)
punct(CYP1A2-18, ,-19)
cc(CYP1A2-18, or-20)
conj(CYP1A2-18, induce-21)
dobj(induce-21, CYP1A2-22)
punct(has-4, .-23)

amod(data-2, Few-1)
nsubj(exist-3, data-2)
root(ROOT-0, exist-3)
case(interactions-6, on-4)
compound(interactions-6, drug-5)
nmod(exist-3, interactions-6)
case(caffeine-8, with-7)
nmod(interactions-6, caffeine-8)
case(neonates-11, in-9)
amod(neonates-11, preterm-10)
nmod(interactions-6, neonates-11)
punct(exist-3, .-12)

case(data-4, Based-1)
case(data-4, on-2)
amod(data-4, adult-3)
advcl(needed-12, data-4)
punct(needed-12, ,-5)
amod(doses-7, lower-6)
nsubjpass(needed-12, doses-7)
case(caffeine-9, of-8)
nmod(doses-7, caffeine-9)
aux(needed-12, may-10)
auxpass(needed-12, be-11)
root(ROOT-0, needed-12)
case(coadministration-14, following-13)
nmod(needed-12, coadministration-14)
case(drugs-16, of-15)
nmod(coadministration-14, drugs-16)
nsubjpass(reported-19, which-17)
auxpass(reported-19, are-18)
acl:relcl(drugs-16, reported-19)
mark(decrease-21, to-20)
xcomp(reported-19, decrease-21)
compound(elimination-23, caffeine-22)
dobj(decrease-21, elimination-23)
punct(e-25, -LRB--24)
appos(elimination-23, e-25)
punct(e-25, .-26)

root(ROOT-0, g-1)
punct(g-1, .-2)

punct(needed-12, ,-1)
nsubjpass(needed-12, cimetidine-2)
cc(cimetidine-2, and-3)
conj(cimetidine-2, ketoconazole-4)
punct(cimetidine-2, -RRB--5)
cc(cimetidine-2, and-6)
amod(doses-9, higher-7)
compound(doses-9, caffeine-8)
conj(cimetidine-2, doses-9)
aux(needed-12, may-10)
auxpass(needed-12, be-11)
root(ROOT-0, needed-12)
case(coadministration-14, following-13)
nmod(needed-12, coadministration-14)
case(drugs-16, of-15)
nmod(coadministration-14, drugs-16)
nsubj(increase-18, that-17)
acl:relcl(drugs-16, increase-18)
compound(elimination-20, caffeine-19)
dobj(increase-18, elimination-20)
punct(e-22, -LRB--21)
appos(elimination-20, e-22)
punct(e-22, .-23)

root(ROOT-0, g-1)
punct(g-1, .-2)

root(ROOT-0, ,-1)
root(,-1, phenobarbital-2)
cc(phenobarbital-2, and-3)
conj(phenobarbital-2, phenytoin-4)
punct(phenobarbital-2, -RRB--5)
punct(phenobarbital-2, .-6)

nsubj(administered-2, Caffeine-1)
root(ROOT-0, administered-2)
advmod(administered-2, concurrently-3)
case(ketoprofen-5, with-4)
nmod(administered-2, ketoprofen-5)
dep(administered-2, reduced-6)
det(volume-9, the-7)
compound(volume-9, urine-8)
dobj(reduced-6, volume-9)
case(volunteers-13, in-10)
nummod(volunteers-13, 4-11)
amod(volunteers-13, healthy-12)
nmod(reduced-6, volunteers-13)
punct(administered-2, .-14)

det(significance-3, The-1)
amod(significance-3, clinical-2)
nsubjpass(known-12, significance-3)
case(interaction-6, of-4)
det(interaction-6, this-5)
nmod(significance-3, interaction-6)
case(neonates-9, in-7)
amod(neonates-9, preterm-8)
nmod(interaction-6, neonates-9)
auxpass(known-12, is-10)
neg(known-12, not-11)
root(ROOT-0, known-12)
punct(known-12, .-13)

nsubjpass(reported-8, Interconversion-1)
case(caffeine-3, between-2)
nmod(Interconversion-1, caffeine-3)
cc(caffeine-3, and-4)
conj(caffeine-3, theophylline-5)
aux(reported-8, has-6)
auxpass(reported-8, been-7)
root(ROOT-0, reported-8)
case(neonates-11, in-9)
amod(neonates-11, preterm-10)
nmod(reported-8, neonates-11)
punct(reported-8, .-12)

det(use-3, The-1)
amod(use-3, concurrent-2)
nsubjpass(recommended-9, use-3)
case(drugs-6, of-4)
det(drugs-6, these-5)
nmod(use-3, drugs-6)
auxpass(recommended-9, is-7)
neg(recommended-9, not-8)
root(ROOT-0, recommended-9)
punct(recommended-9, .-10)

neg(studies-4, No-1)
compound(studies-4, drug-2)
compound(studies-4, interaction-3)
nsubjpass(performed-7, studies-4)
aux(performed-7, have-5)
auxpass(performed-7, been-6)
root(ROOT-0, performed-7)
punct(performed-7, .-8)

amod(medicines-2, Other-1)
root(ROOT-0, medicines-2)
punct(medicines-2, --3)
mark(used-10, Although-4)
amod(medicines-6, certain-5)
nsubjpass(used-10, medicines-6)
aux(used-10, should-7)
neg(used-10, not-8)
auxpass(used-10, be-9)
dep(medicines-2, used-10)
advmod(used-10, together-11)
case(all-13, at-12)
nmod(used-10, all-13)
punct(used-10, ,-14)
case(cases-17, in-15)
amod(cases-17, other-16)
nmod(used-23, cases-17)
nummod(medicines-20, two-18)
amod(medicines-20, different-19)
nsubjpass(used-23, medicines-20)
aux(used-23, may-21)
auxpass(used-23, be-22)
parataxis(used-10, used-23)
advmod(used-23, together-24)
advmod(occur-30, even-25)
mark(occur-30, if-26)
det(interaction-28, an-27)
nsubj(occur-30, interaction-28)
aux(occur-30, might-29)
advcl(used-23, occur-30)
punct(medicines-2, .-31)

case(cases-3, In-1)
det(cases-3, these-2)
nmod(want-8, cases-3)
punct(want-8, ,-4)
nmod:poss(doctor-6, your-5)
nsubj(want-8, doctor-6)
aux(want-8, may-7)
csubj(necessary-19, want-8)
mark(change-10, to-9)
xcomp(want-8, change-10)
det(dose-12, the-11)
dobj(change-10, dose-12)
punct(dose-12, ,-13)
cc(dose-12, or-14)
amod(precautions-16, other-15)
conj(dose-12, precautions-16)
aux(necessary-19, may-17)
cop(necessary-19, be-18)
root(ROOT-0, necessary-19)
punct(necessary-19, .-20)

advmod(using-4, When-1)
nsubj(using-4, you-2)
aux(using-4, are-3)
advcl(important-10, using-4)
dobj(using-4, idoxuridine-5)
punct(important-10, ,-6)
nsubj(important-10, it-7)
cop(important-10, is-8)
advmod(important-10, especially-9)
root(ROOT-0, important-10)
mark(know-16, that-11)
nmod:poss(care-14, your-12)
compound(care-14, health-13)
nsubj(know-16, care-14)
amod(care-14, professional-15)
ccomp(important-10, know-16)
mark(using-20, if-17)
nsubj(using-20, you-18)
aux(using-20, are-19)
advcl(know-16, using-20)
dobj(using-20, the-21)
root(the-21, following-22)
punct(following-22, :-23)
compound(product-25, Eye-24)
root(:-23, product-25)
acl(product-25, containing-26)
amod(acid-28, boric-27)
dobj(containing-26, acid-28)
punct(product-25, .-29)

amod(acid-2, Boric-1)
nsubj(interact-4, acid-2)
aux(interact-4, may-3)
root(ROOT-0, interact-4)
case(preparation-8, with-5)
det(preparation-8, the-6)
compound(preparation-8, idoxuridine-7)
nmod(interact-4, preparation-8)
acl(preparation-8, causing-9)
det(substance-12, a-10)
amod(substance-12, gritty-11)
dobj(causing-9, substance-12)
mark(form-14, to-13)
xcomp(causing-9, form-14)
cc(form-14, or-15)
aux(interact-17, may-16)
conj(form-14, interact-17)
case(preservative-20, with-18)
det(preservative-20, the-19)
nmod(interact-17, preservative-20)
case(preparation-24, in-21)
det(preparation-24, the-22)
compound(preparation-24, idoxuridine-23)
nmod(preservative-20, preparation-24)
xcomp(form-14, causing-25)
det(effect-28, a-26)
amod(effect-28, toxic-27)
dobj(causing-25, effect-28)
case(eye-31, in-29)
det(eye-31, the-30)
nmod(effect-28, eye-31)
punct(interact-4, .-32)

neg(well-2, No-1)
advmod(interactions-6, well-2)
punct(interactions-6, --3)
amod(interactions-6, known-4)
compound(interactions-6, drug-5)
nsubj(indicated-13, interactions-6)
case(trials-11, with-7)
amod(trials-11, glutamic-8)
compound(trials-11, acid-9)
amod(trials-11, Clinical-10)
nmod(interactions-6, trials-11)
aux(indicated-13, have-12)
root(ROOT-0, indicated-13)
mark(used-21, that-14)
nsubjpass(used-21, Pulmozyme-15)
aux(used-21, can-16)
auxpass(used-21, be-17)
advmod(used-21, effectively-18)
cc(effectively-18, and-19)
conj(effectively-18, safely-20)
ccomp(indicated-13, used-21)
case(conjunction-23, in-22)
nmod(used-21, conjunction-23)
case(therapies-28, with-24)
amod(therapies-28, standard-25)
amod(therapies-28, cystic-26)
compound(therapies-28, fibrosis-27)
nmod(conjunction-23, therapies-28)
case(oral-30, including-29)
nmod(therapies-28, oral-30)
punct(oral-30, ,-31)
conj(oral-30, inhaled-32)
cc(oral-30, and-33)
punct(antibiotics-37, /-34)
cc(antibiotics-37, or-35)
amod(antibiotics-37, parenteral-36)
conj(oral-30, antibiotics-37)
punct(antibiotics-37, ,-38)
conj(antibiotics-37, bronchodilators-39)
punct(antibiotics-37, ,-40)
compound(supplements-42, enzyme-41)
conj(antibiotics-37, supplements-42)
punct(antibiotics-37, ,-43)
conj(antibiotics-37, vitamins-44)
punct(antibiotics-37, ,-45)
conj(antibiotics-37, oral-46)
cc(antibiotics-37, or-47)
amod(corticosteroids-49, inhaled-48)
conj(antibiotics-37, corticosteroids-49)
punct(used-21, ,-50)
cc(used-21, and-51)
conj(used-21, analgesics-52)
punct(indicated-13, .-53)

neg(studies-5, No-1)
amod(studies-5, formal-2)
compound(studies-5, drug-3)
compound(studies-5, interaction-4)
nsubjpass(performed-8, studies-5)
aux(performed-8, have-6)
auxpass(performed-8, been-7)
root(ROOT-0, performed-8)
punct(performed-8, .-9)

advmod(interactions-4, Clinically-1)
amod(interactions-4, meaningful-2)
compound(interactions-4, drug-3)
nsubj(occurred-6, interactions-4)
aux(occurred-6, have-5)
root(ROOT-0, occurred-6)
case(medications-9, with-7)
amod(medications-9, concomitant-8)
nmod(occurred-6, medications-9)
cc(occurred-6, and-10)
conj(occurred-6, include-11)
punct(occurred-6, ,-12)
cc(occurred-6, but-13)
cop(limited-16, are-14)
neg(limited-16, not-15)
conj(occurred-6, limited-16)
case(following-19, to-17)
det(following-19, the-18)
nmod(limited-16, following-19)
punct(occurred-6, :-20)
nsubj(Bound-23, Agents-21)
advmod(Bound-23, Highly-22)
csubjpass(bound-31, Bound-23)
case(Carbamazepine-27, to-24)
compound(Carbamazepine-27, Plasma-25)
compound(Carbamazepine-27, Protein-26)
nmod(Bound-23, Carbamazepine-27)
auxpass(bound-31, is-28)
neg(bound-31, not-29)
advmod(bound-31, highly-30)
parataxis(occurred-6, bound-31)
case(proteins-34, to-32)
compound(proteins-34, plasma-33)
nmod(bound-31, proteins-34)
punct(bound-31, ;-35)
parataxis(bound-31, therefore-36)
punct(therefore-36, ,-37)
root(,-37, administration-38)
case(EQUETROTM-40, of-39)
nmod(administration-38, EQUETROTM-40)
case(patient-43, to-41)
det(patient-43, a-42)
nmod(administration-38, patient-43)
acl(patient-43, taking-44)
det(drug-46, another-45)
dobj(taking-44, drug-46)
nsubj(cause-54, that-47)
aux(cause-54, is-48)
advmod(cause-54, highly-49)
nsubj(cause-54, protein-50)
acl(protein-50, bound-51)
aux(cause-54, should-52)
neg(cause-54, not-53)
acl:relcl(drug-46, cause-54)
amod(concentrations-57, increased-55)
amod(concentrations-57, free-56)
dobj(cause-54, concentrations-57)
case(drug-61, of-58)
det(drug-61, the-59)
amod(drug-61, other-60)
nmod(concentrations-57, drug-61)
punct(administration-38, .-62)

nsubjpass(metabolized-14, Agents-1)
nsubj(Inhibit-3, that-2)
acl:relcl(Agents-1, Inhibit-3)
compound(Isoenzymes-6, Cytochrome-4)
compound(Isoenzymes-6, P450-5)
dobj(Inhibit-3, Isoenzymes-6)
cc(Isoenzymes-6, and-7)
punct(Carbamazepine-12, /-8)
cc(Carbamazepine-12, or-9)
compound(Carbamazepine-12, Epoxide-10)
compound(Carbamazepine-12, Hydrolase-11)
conj(Isoenzymes-6, Carbamazepine-12)
auxpass(metabolized-14, is-13)
root(ROOT-0, metabolized-14)
advmod(metabolized-14, mainly-15)
case(P450-18, by-16)
compound(P450-18, cytochrome-17)
nmod(metabolized-14, P450-18)
punct(CYP-20, -LRB--19)
appos(P450-18, CYP-20)
punct(CYP-20, -RRB--21)
nummod(P450-18, 3A4-22)
case(carbamazepine-26, to-23)
det(carbamazepine-26, the-24)
amod(carbamazepine-26, active-25)
nmod(metabolized-14, carbamazepine-26)
nummod(carbamazepine-26, 10,11-27)
punct(carbamazepine-26, --28)
dep(carbamazepine-26, epoxide-29)
punct(carbamazepine-26, ,-30)
nsubjpass(metabolized-34, which-31)
auxpass(metabolized-34, is-32)
advmod(metabolized-34, further-33)
acl:relcl(carbamazepine-26, metabolized-34)
case(trans-37, to-35)
det(trans-37, the-36)
nmod(metabolized-34, trans-37)
punct(trans-37, --38)
dep(trans-37, diol-39)
case(hydrolase-42, by-40)
compound(hydrolase-42, epoxide-41)
nmod(diol-39, hydrolase-42)
punct(metabolized-14, .-43)

advmod(exists-5, Therefore-1)
punct(exists-5, ,-2)
det(potential-4, the-3)
nsubj(exists-5, potential-4)
root(ROOT-0, exists-5)
case(interaction-7, for-6)
nmod(exists-5, interaction-7)
case(carbamazepine-9, between-8)
nmod(interaction-7, carbamazepine-9)
cc(carbamazepine-9, and-10)
det(agent-12, any-11)
conj(carbamazepine-9, agent-12)
nsubj(inhibits-14, that-13)
acl:relcl(agent-12, inhibits-14)
dobj(inhibits-14, CYP3A4-15)
cc(CYP3A4-15, and-16)
punct(hydrolase-20, /-17)
cc(hydrolase-20, or-18)
compound(hydrolase-20, epoxide-19)
conj(CYP3A4-15, hydrolase-20)
punct(exists-5, .-21)

nsubj(following-23, Agents-1)
nsubj(inhibitors-5, that-2)
cop(inhibitors-5, are-3)
compound(inhibitors-5, CYP3A4-4)
acl:relcl(Agents-1, inhibitors-5)
nsubjpass(found-9, that-6)
aux(found-9, have-7)
auxpass(found-9, been-8)
acl:relcl(inhibitors-5, found-9)
punct(Agents-1, ,-10)
cc(Agents-1, or-11)
auxpass(expected-13, are-12)
conj(Agents-1, expected-13)
punct(Agents-1, ,-14)
mark(increase-16, to-15)
acl(Agents-1, increase-16)
compound(levels-18, plasma-17)
dobj(increase-16, levels-18)
case(EQUETROTM-20, of-19)
nmod(levels-18, EQUETROTM-20)
cop(following-23, are-21)
det(following-23, the-22)
root(ROOT-0, following-23)
punct(following-23, :-24)
dep(following-23, Acetazolamide-25)
punct(Acetazolamide-25, ,-26)
compound(antifungals-28, azole-27)
root(,-26, antifungals-28)
punct(antifungals-28, ,-29)
conj(antifungals-28, cimetidine-30)
punct(antifungals-28, ,-31)
conj(antifungals-28, clarithromycin-32)
punct(1-34, -LRB--33)
appos(clarithromycin-32, 1-34)
punct(1-34, -RRB--35)
punct(antifungals-28, ,-36)
conj(antifungals-28, dalfopristin-37)
punct(antifungals-28, ,-38)
conj(antifungals-28, danazol-39)
punct(antifungals-28, ,-40)
conj(antifungals-28, delavirdine-41)
punct(antifungals-28, ,-42)
conj(antifungals-28, diltiazem-43)
punct(antifungals-28, ,-44)
conj(antifungals-28, erythromycin-45)
punct(1-47, -LRB--46)
appos(erythromycin-45, 1-47)
punct(1-47, -RRB--48)
punct(antifungals-28, ,-49)
conj(antifungals-28, fluoxetine-50)
punct(antifungals-28, ,-51)
conj(antifungals-28, fluvoxamine-52)
punct(antifungals-28, ,-53)
compound(juice-55, grapefruit-54)
conj(antifungals-28, juice-55)
punct(antifungals-28, ,-56)
conj(antifungals-28, isoniazid-57)
punct(antifungals-28, ,-58)
conj(antifungals-28, itraconazole-59)
punct(antifungals-28, ,-60)
conj(antifungals-28, ketoconazole-61)
punct(antifungals-28, ,-62)
conj(antifungals-28, loratadine-63)
punct(antifungals-28, ,-64)
conj(antifungals-28, nefazodone-65)
punct(antifungals-28, ,-66)
conj(antifungals-28, niacinamide-67)
punct(antifungals-28, ,-68)
conj(antifungals-28, nicotinamide-69)
punct(antifungals-28, ,-70)
compound(inhibitors-72, protease-71)
conj(antifungals-28, inhibitors-72)
punct(antifungals-28, ,-73)
conj(antifungals-28, propoxyphene-74)
punct(antifungals-28, ,-75)
conj(antifungals-28, quinine-76)
punct(antifungals-28, ,-77)
conj(antifungals-28, quinupristin-78)
punct(antifungals-28, ,-79)
conj(antifungals-28, troleandomycin-80)
punct(antifungals-28, ,-81)
conj(antifungals-28, valproate-82)
punct(1-84, -LRB--83)
appos(valproate-82, 1-84)
punct(1-84, -RRB--85)
punct(antifungals-28, ,-86)
conj(antifungals-28, verapamil-87)
punct(antifungals-28, ,-88)
appos(antifungals-28, zileuton-89)
punct(antifungals-28, .-90)

advmod(begins-18, Thus-1)
punct(begins-18, ,-2)
mark(titrated-8, if-3)
det(patient-5, a-4)
nsubjpass(titrated-8, patient-5)
aux(titrated-8, has-6)
auxpass(titrated-8, been-7)
advcl(begins-18, titrated-8)
case(dosage-12, to-9)
det(dosage-12, a-10)
amod(dosage-12, stable-11)
nmod(titrated-8, dosage-12)
case(EQUETROTM-14, of-13)
nmod(dosage-12, EQUETROTM-14)
punct(begins-18, ,-15)
cc(begins-18, and-16)
advmod(begins-18, then-17)
root(ROOT-0, begins-18)
det(course-20, a-19)
dobj(begins-18, course-20)
case(treatment-22, of-21)
nmod(course-20, treatment-22)
case(one-24, with-23)
nmod(treatment-22, one-24)
case(CYP3A4-27, of-25)
det(CYP3A4-27, these-26)
nmod(one-24, CYP3A4-27)
cc(CYP3A4-27, or-28)
compound(inhibitors-31, epoxide-29)
compound(inhibitors-31, hydrolase-30)
conj(CYP3A4-27, inhibitors-31)
punct(begins-18, ,-32)
nsubj(reasonable-35, it-33)
cop(reasonable-35, is-34)
parataxis(begins-18, reasonable-35)
mark(expect-37, to-36)
xcomp(reasonable-35, expect-37)
mark(necessary-46, that-38)
det(reduction-41, a-39)
compound(reduction-41, dose-40)
nsubj(necessary-46, reduction-41)
case(EQUETROTM-43, for-42)
nmod(reduction-41, EQUETROTM-43)
aux(necessary-46, may-44)
cop(necessary-46, be-45)
ccomp(expect-37, necessary-46)
punct(begins-18, .-47)

nsubjpass(metabolized-9, Agents-1)
nsubj(Induce-3, that-2)
acl:relcl(Agents-1, Induce-3)
compound(Carbamazepine-7, Cytochrome-4)
compound(Carbamazepine-7, P450-5)
compound(Carbamazepine-7, Isoenzymes-6)
dobj(Induce-3, Carbamazepine-7)
auxpass(metabolized-9, is-8)
root(ROOT-0, metabolized-9)
case(CYP3A4-11, by-10)
nmod(metabolized-9, CYP3A4-11)
punct(metabolized-9, .-12)

advmod(exists-5, Therefore-1)
punct(exists-5, ,-2)
det(potential-4, the-3)
nsubj(exists-5, potential-4)
root(ROOT-0, exists-5)
case(interaction-7, for-6)
nmod(exists-5, interaction-7)
case(carbamazepine-9, between-8)
nmod(interaction-7, carbamazepine-9)
cc(carbamazepine-9, and-10)
det(agent-12, any-11)
conj(carbamazepine-9, agent-12)
nsubj(induces-14, that-13)
acl:relcl(agent-12, induces-14)
dobj(induces-14, CYP3A4-15)
punct(exists-5, .-16)

nsubj(following-23, Agents-1)
nsubj(inducers-5, that-2)
cop(inducers-5, are-3)
amod(inducers-5, CYP-4)
acl:relcl(Agents-1, inducers-5)
nsubjpass(found-9, that-6)
aux(found-9, have-7)
auxpass(found-9, been-8)
acl:relcl(inducers-5, found-9)
punct(Agents-1, ,-10)
cc(Agents-1, or-11)
auxpass(expected-13, are-12)
conj(Agents-1, expected-13)
punct(Agents-1, ,-14)
mark(decrease-16, to-15)
acl(Agents-1, decrease-16)
compound(levels-18, plasma-17)
dobj(decrease-16, levels-18)
case(EQUETROTM-20, of-19)
nmod(levels-18, EQUETROTM-20)
cop(following-23, are-21)
det(following-23, the-22)
root(ROOT-0, following-23)
punct(following-23, :-24)
nmod:tmod(begins-64, Cisplatin-25)
punct(begins-64, ,-26)
compound(HCL-28, doxorubicin-27)
nsubj(begins-64, HCL-28)
punct(HCL-28, ,-29)
conj(HCL-28, felbamate-30)
punct(HCL-28, ,-31)
conj(HCL-28, rifampin-32)
punct(HCL-28, ,-33)
conj(HCL-28, phenobarbital-34)
punct(HCL-28, ,-35)
conj(HCL-28, Phenytoin-36)
punct(2-38, -LRB--37)
appos(Phenytoin-36, 2-38)
punct(2-38, -RRB--39)
punct(HCL-28, ,-40)
conj(HCL-28, primidone-41)
punct(HCL-28, ,-42)
conj(HCL-28, methsuximide-43)
punct(HCL-28, ,-44)
cc(HCL-28, and-45)
conj(HCL-28, theophylline-46)
advmod(begins-64, Thus-47)
punct(begins-64, ,-48)
mark(titrated-54, if-49)
det(patient-51, a-50)
nsubjpass(titrated-54, patient-51)
aux(titrated-54, has-52)
auxpass(titrated-54, been-53)
advcl(begins-64, titrated-54)
case(dosage-58, to-55)
det(dosage-58, a-56)
amod(dosage-58, stable-57)
nmod(titrated-54, dosage-58)
case(EQUETROTM-60, on-59)
nmod(dosage-58, EQUETROTM-60)
punct(begins-64, ,-61)
cc(begins-64, and-62)
advmod(begins-64, then-63)
parataxis(following-23, begins-64)
det(course-66, a-65)
dobj(begins-64, course-66)
case(treatment-68, of-67)
nmod(course-66, treatment-68)
case(one-70, with-69)
nmod(treatment-68, one-70)
case(inducers-74, of-71)
det(inducers-74, these-72)
compound(inducers-74, CYP3A4-73)
nmod(one-70, inducers-74)
punct(begins-64, ,-75)
nsubj(reasonable-78, it-76)
cop(reasonable-78, is-77)
parataxis(begins-64, reasonable-78)
mark(expect-80, to-79)
xcomp(reasonable-78, expect-80)
mark(necessary-89, that-81)
det(increase-84, a-82)
compound(increase-84, dose-83)
nsubj(necessary-89, increase-84)
case(EQUETROTM-86, for-85)
nmod(increase-84, EQUETROTM-86)
aux(necessary-89, may-87)
cop(necessary-89, be-88)
ccomp(expect-80, necessary-89)
punct(following-23, .-90)

nsubjpass(known-19, Agents-1)
case(Levels-4, with-2)
amod(Levels-4, Decreased-3)
nmod(Agents-1, Levels-4)
case(Presence-7, in-5)
det(Presence-7, the-6)
nmod(Levels-4, Presence-7)
case(Carbamazepine-9, of-8)
nmod(Presence-7, Carbamazepine-9)
case(Induction-12, due-10)
mwe(due-10, to-11)
nmod(Agents-1, Induction-12)
case(Carbamazepine-17, of-13)
compound(Carbamazepine-17, Cytochrome-14)
compound(Carbamazepine-17, P450-15)
compound(Carbamazepine-17, Enzymes-16)
nmod(Induction-12, Carbamazepine-17)
auxpass(known-19, is-18)
root(ROOT-0, known-19)
mark(induce-21, to-20)
xcomp(known-19, induce-21)
dobj(induce-21, CYP1A2-22)
cc(CYP1A2-22, and-23)
conj(CYP1A2-22, CYP3A4-24)
punct(known-19, .-25)

advmod(exists-5, Therefore-1)
punct(exists-5, ,-2)
det(potential-4, the-3)
nsubj(exists-5, potential-4)
root(ROOT-0, exists-5)
case(interaction-7, for-6)
nmod(exists-5, interaction-7)
case(carbamazepine-9, between-8)
nmod(interaction-7, carbamazepine-9)
cc(carbamazepine-9, and-10)
det(agent-12, any-11)
conj(carbamazepine-9, agent-12)
acl(agent-12, metabolized-13)
case(one-15, by-14)
nmod(metabolized-13, one-15)
punct(more-18, -LRB--16)
cc(more-18, or-17)
dep(one-15, more-18)
punct(more-18, -RRB--19)
case(enzymes-22, of-20)
det(enzymes-22, these-21)
nmod(one-15, enzymes-22)
punct(exists-5, .-23)

nsubj(following-28, Agents-1)
nsubjpass(found-5, that-2)
aux(found-5, have-3)
auxpass(found-5, been-4)
acl:relcl(Agents-1, found-5)
punct(found-5, ,-6)
cc(found-5, or-7)
auxpass(expected-9, are-8)
conj(found-5, expected-9)
mark(decreased-12, to-10)
aux(decreased-12, have-11)
xcomp(expected-9, decreased-12)
compound(levels-14, plasma-13)
dobj(decreased-12, levels-14)
case(presence-17, in-15)
det(presence-17, the-16)
nmod(decreased-12, presence-17)
case(EQUETROTM-19, of-18)
nmod(presence-17, EQUETROTM-19)
case(induction-22, due-20)
mwe(due-20, to-21)
nmod(decreased-12, induction-22)
case(enzymes-25, of-23)
compound(enzymes-25, CYP-24)
nmod(induction-22, enzymes-25)
cop(following-28, are-26)
det(following-28, the-27)
root(ROOT-0, following-28)
punct(following-28, :-29)
dep(following-28, Acetaminophen-30)
punct(Acetaminophen-30, ,-31)
conj(Acetaminophen-30, alprazolam-32)
punct(Acetaminophen-30, ,-33)
conj(Acetaminophen-30, amitriptyline-34)
punct(Acetaminophen-30, ,-35)
conj(Acetaminophen-30, bupropion-36)
punct(Acetaminophen-30, ,-37)
conj(Acetaminophen-30, buspirone-38)
punct(Acetaminophen-30, ,-39)
conj(Acetaminophen-30, citalopram-40)
punct(Acetaminophen-30, ,-41)
conj(Acetaminophen-30, clobazam-42)
punct(Acetaminophen-30, ,-43)
conj(Acetaminophen-30, clonazepam-44)
punct(Acetaminophen-30, ,-45)
conj(Acetaminophen-30, clozapine-46)
punct(Acetaminophen-30, ,-47)
conj(Acetaminophen-30, cyclosporin-48)
punct(Acetaminophen-30, ,-49)
conj(Acetaminophen-30, delavirdine-50)
punct(Acetaminophen-30, ,-51)
conj(Acetaminophen-30, desipramine-52)
punct(Acetaminophen-30, ,-53)
conj(Acetaminophen-30, diazepam-54)
punct(Acetaminophen-30, ,-55)
conj(Acetaminophen-30, dicumarol-56)
punct(Acetaminophen-30, ,-57)
conj(Acetaminophen-30, doxycycline-58)
punct(Acetaminophen-30, ,-59)
conj(Acetaminophen-30, ethosuximide-60)
punct(Acetaminophen-30, ,-61)
conj(Acetaminophen-30, felbamate-62)
punct(Acetaminophen-30, ,-63)
conj(Acetaminophen-30, felodipine-64)
punct(Acetaminophen-30, ,-65)
conj(Acetaminophen-30, glucocorticoids-66)
punct(Acetaminophen-30, ,-67)
conj(Acetaminophen-30, haloperidol-68)
punct(Acetaminophen-30, ,-69)
conj(Acetaminophen-30, itraconazole-70)
punct(Acetaminophen-30, ,-71)
conj(Acetaminophen-30, lamotrigine-72)
punct(Acetaminophen-30, ,-73)
conj(Acetaminophen-30, levothyroxine-74)
punct(Acetaminophen-30, ,-75)
conj(Acetaminophen-30, lorazepam-76)
punct(Acetaminophen-30, ,-77)
conj(Acetaminophen-30, methadone-78)
punct(Acetaminophen-30, ,-79)
conj(Acetaminophen-30, midazolam-80)
punct(Acetaminophen-30, ,-81)
conj(Acetaminophen-30, mirtazapine-82)
punct(Acetaminophen-30, ,-83)
conj(Acetaminophen-30, nortriptyline-84)
punct(Acetaminophen-30, ,-85)
conj(Acetaminophen-30, olanzapine-86)
punct(Acetaminophen-30, ,-87)
amod(contraceptives-89, oral-88)
conj(Acetaminophen-30, contraceptives-89)
punct(3-91, -LRB--90)
appos(contraceptives-89, 3-91)
punct(3-91, -RRB--92)
punct(Acetaminophen-30, ,-93)
conj(Acetaminophen-30, oxcarbazepine-94)
punct(Acetaminophen-30, ,-95)
conj(Acetaminophen-30, Phenytoin-96)
punct(4-98, -LRB--97)
appos(Phenytoin-96, 4-98)
punct(4-98, -RRB--99)
punct(Acetaminophen-30, ,-100)
conj(Acetaminophen-30, praziquantel-101)
punct(Acetaminophen-30, ,-102)
compound(inhibitors-104, protease-103)
conj(Acetaminophen-30, inhibitors-104)
punct(Acetaminophen-30, ,-105)
conj(Acetaminophen-30, quetiapine-106)
punct(Acetaminophen-30, ,-107)
conj(Acetaminophen-30, risperidone-108)
punct(Acetaminophen-30, ,-109)
conj(Acetaminophen-30, theophylline-110)
punct(Acetaminophen-30, ,-111)
conj(Acetaminophen-30, topiramate-112)
punct(Acetaminophen-30, ,-113)
conj(Acetaminophen-30, tiagabine-114)
punct(Acetaminophen-30, ,-115)
conj(Acetaminophen-30, tramadol-116)
punct(Acetaminophen-30, ,-117)
conj(Acetaminophen-30, triazolam-118)
punct(Acetaminophen-30, ,-119)
